k;alpha;nPayments;End Epoch;DeployGas;StartConfirmGas;MaxConfirmGas;MinConfirmGas;PayGas
30;3;10;No;2688627;492599;65056;50056;287681
30;3;10;Yes;2688627;1206782;65056;50056;578741
30;3;11;No;2688627;534654;65056;50056;299611
30;3;11;Yes;2688627;1248836;65056;50056;590671
30;3;12;No;2688627;576732;65056;50056;311541
30;3;12;Yes;2688627;1290915;65056;50056;602601
30;3;13;No;2688627;618786;65056;50056;323471
30;3;13;Yes;2688627;1332969;65056;50056;614531
30;3;14;No;2688627;660864;65056;50056;335401
30;3;14;Yes;2688627;1375048;65056;50056;626461
30;3;15;No;2688627;702931;65056;50056;347331
30;3;15;Yes;2688627;1417114;65056;50056;638391
30;3;16;No;2688627;744985;65056;50056;359261
30;3;16;Yes;2688627;1459169;65056;50056;650321
30;3;17;No;2688627;787039;65056;50056;371191
30;3;17;Yes;2688627;1501223;65056;50056;662251
30;3;18;No;2688627;829118;65056;50056;383121
30;3;18;Yes;2688627;1543302;65056;50056;674181
30;3;19;No;2688627;871172;65056;50056;395051
30;3;19;Yes;2688627;1585357;65056;50056;686111
30;3;20;No;2688627;913251;65056;50056;406981
30;3;20;Yes;2688627;1627435;65056;50056;698041
30;3;21;No;2688627;955305;65056;50056;418911
30;3;21;Yes;2688627;1669490;65056;50056;709971
30;3;22;No;2688627;997383;65056;50056;430841
30;3;22;Yes;2688627;1711569;65056;50056;721901
30;3;23;No;2688627;1039450;65056;50056;442771
30;3;23;Yes;2688627;1753635;65056;50056;733831
30;3;24;No;2688627;1081516;65056;50056;454701
30;3;24;Yes;2688627;1795702;65056;50056;745761
30;3;25;No;2688627;1123571;65056;50056;466631
30;3;25;Yes;2688627;1837757;65056;50056;757691
30;3;26;No;2688627;1165649;65056;50056;478561
30;3;26;Yes;2688627;1879836;65056;50056;769621
30;3;27;No;2688627;1207704;65056;50056;490491
30;3;27;Yes;2688627;1921890;65056;50056;781551
30;3;28;No;2688627;1249782;65056;50056;502421
30;3;28;Yes;2688627;1963969;65056;50056;793481
30;3;29;No;2688627;1291837;65056;50056;514351
30;3;29;Yes;2688627;2006024;65056;50056;805411
30;3;30;No;2688627;1333915;65056;50056;526281
30;3;30;Yes;2688627;2048103;65056;50056;817341
30;3;31;No;2688627;1375982;65056;50056;538211
30;3;31;Yes;2688627;2090169;65056;50056;829271
30;3;32;No;2688627;1418048;65056;50056;550141
30;3;32;Yes;2688627;2132236;65056;50056;841201
30;3;33;No;2688627;1460103;65056;50056;562071
30;3;33;Yes;2688627;2174291;65056;50056;853131
30;6;1;No;2822070;114004;65056;50056;193301
30;6;1;Yes;2822070;889612;65056;50056;510164
30;6;2;No;2822070;156082;65056;50056;205231
30;6;2;Yes;2822070;931691;65056;50056;522094
30;6;3;No;2822070;198148;65056;50056;217161
30;6;3;Yes;2822070;973757;65056;50056;534024
30;6;4;No;2822070;240214;65056;50056;229091
30;6;4;Yes;2822070;1015823;65056;50056;545954
30;6;5;No;2822070;282268;65056;50056;241021
30;6;5;Yes;2822070;1057878;65056;50056;557884
30;6;6;No;2822070;324335;65056;50056;252951
30;6;6;Yes;2822070;1099944;65056;50056;569814
30;6;7;No;2822070;366401;65056;50056;264881
30;6;7;Yes;2822070;1142011;65056;50056;581744
30;6;8;No;2822070;408467;65056;50056;276811
30;6;8;Yes;2822070;1184077;65056;50056;593674
30;6;9;No;2822070;450521;65056;50056;288741
30;6;9;Yes;2822070;1226132;65056;50056;605604
30;6;10;No;2822070;492599;65056;50056;300671
30;6;10;Yes;2822070;1268210;65056;50056;617534
30;6;11;No;2822070;534654;65056;50056;312601
30;6;11;Yes;2822070;1310265;65056;50056;629464
30;6;12;No;2822070;576732;65056;50056;324531
30;6;12;Yes;2822070;1352343;65056;50056;641394
30;6;13;No;2822070;618774;65056;50056;336461
30;6;13;Yes;2822070;1394386;65056;50056;653324
30;6;14;No;2822070;660852;65056;50056;348391
30;6;14;Yes;2822070;1436464;65056;50056;665254
30;6;15;No;2822070;702919;65056;50056;360321
30;6;15;Yes;2822070;1478531;65056;50056;677184
30;6;16;No;2822070;744985;65056;50056;372251
30;6;16;Yes;2822070;1520598;65056;50056;689114
30;6;17;No;2822070;787039;65056;50056;384181
30;6;17;Yes;2822070;1562652;65056;50056;701044
30;6;18;No;2822070;829118;65056;50056;396111
30;6;18;Yes;2822070;1604731;65056;50056;712974
30;6;19;No;2822070;871172;65056;50056;408041
30;6;19;Yes;2822070;1646786;65056;50056;724904
30;6;20;No;2822070;913251;65056;50056;419971
30;6;20;Yes;2822070;1688864;65056;50056;736834
30;6;21;No;2822070;955305;65056;50056;431901
30;6;21;Yes;2822070;1730919;65056;50056;748764
30;6;22;No;2822070;997383;65056;50056;443831
30;6;22;Yes;2822070;1772998;65056;50056;760694
30;6;23;No;2822070;1039450;65056;50056;455761
