value_hours,cdf
5.506764705882353,0.262
5.5076241134751776,0.263
5.513821138211382,0.264
5.522395833333333,0.265
5.523777777777778,0.266
5.525279642058166,0.267
5.529910714285714,0.268
5.532230392156863,0.269
5.534775641025641,0.27
5.54079254079254,0.271
5.55650406504065,0.272
5.557333333333333,0.273
5.571130952380953,0.274
5.575603864734299,0.275
5.585128205128205,0.276
5.602083333333334,0.277
5.607575757575757,0.278
5.625573192239859,0.279
5.6257861635220126,0.28
5.654434250764526,0.281
5.6584010840108405,0.282
5.658646616541353,0.283
5.660747663551402,0.284
5.6698492462311565,0.285
5.679143897996356,0.286
5.6797619047619055,0.287
5.682234432234432,0.288
5.696325459317586,0.289
5.698404255319149,0.29
5.716666666666667,0.291
5.7375,0.292
5.744835680751174,0.293
5.778019323671497,0.294
5.81078431372549,0.295
5.813888888888889,0.296
5.8371863799283155,0.297
5.840690690690691,0.298
5.846531302876481,0.299
5.8485964912280695,0.3
5.853676470588236,0.301
5.866835016835017,0.302
5.868074074074074,0.303
5.870868347338936,0.304
5.885529715762274,0.305
5.916666666666667,0.306
5.920411985018727,0.307
5.922139303482587,0.308
5.9234463276836165,0.309
5.926984126984127,0.31
5.936984126984127,0.311
5.938916256157635,0.312
5.9411764705882355,0.313
5.942660550458716,0.314
5.9592156862745105,0.315
5.9608,0.316
5.961904761904762,0.317
5.972,0.318
5.973863636363636,0.319
5.987627365356623,0.32
6.001524390243903,0.321
6.016666666666667,0.322
6.028468468468469,0.323
6.043156732891832,0.324
6.043721461187215,0.325
6.051171875,0.326
6.056881720430108,0.327
6.0599326599326595,0.328
6.063468013468014,0.329
6.067777777777778,0.33
6.085754189944134,0.331
6.0906666666666665,0.332
6.096202531645569,0.333
6.106962025316456,0.334
6.1072033898305085,0.335
6.111529680365297,0.336
6.118666666666667,0.337
6.127011494252873,0.338
6.12979797979798,0.339
6.169470404984423,0.34
6.173824130879345,0.341
6.1775,0.342
6.196410256410257,0.343
6.198525073746312,0.344
6.19909420289855,0.345
6.2091954022988505,0.346
6.212045454545454,0.347
6.238888888888889,0.348
6.254984423676012,0.349
6.2582125603864736,0.35
6.263636363636364,0.351
6.265776081424936,0.352
6.270646766169154,0.353
6.271232876712329,0.354
6.278801169590643,0.355
6.281009615384615,0.356
6.288,0.357
6.288425925925925,0.358
6.2914251207729475,0.359
6.295490196078431,0.36
6.297373188405797,0.361
6.29920091324201,0.362
6.302594339622642,0.363
6.308759124087591,0.364
6.317231638418079,0.365
6.318546365914787,0.366
6.3330900243309,0.367
6.341501103752759,0.368
6.341744548286604,0.369
6.347946859903382,0.37
6.350850340136055,0.371
6.361354166666667,0.372
6.36731182795699,0.373
6.374722222222222,0.374
6.382098765432099,0.375
6.3985119047619055,0.376
6.408482142857142,0.377
6.411350574712643,0.378
6.431397306397307,0.379
6.432662192393736,0.38
6.440487804878049,0.381
6.447512437810945,0.382
6.45042194092827,0.383
6.451633986928105,0.384
6.471220930232557,0.385
6.4725768321513,0.386
6.472933333333334,0.387
6.493150684931507,0.388
6.494358974358974,0.389
6.498293963254593,0.39
6.498563218390805,0.391
6.504984423676012,0.392
6.506955380577428,0.393
6.511111111111111,0.394
6.521544715447154,0.395
6.521944444444444,0.396
6.527891156462585,0.397
6.529931972789115,0.398
6.531984585741811,0.399
6.532686084142394,0.4
6.539473684210526,0.401
6.557142857142858,0.402
6.5621527777777775,0.403
6.577062706270627,0.404
6.578939393939393,0.405
6.581818181818181,0.406
6.5876760563380286,0.407
6.606583333333333,0.408
6.620133333333333,0.409
6.627853881278539,0.41
6.629302832244009,0.411
6.635286458333334,0.412
6.643640350877193,0.413
6.644660194174757,0.414
6.6568580542264755,0.415
6.667383512544803,0.416
6.678571428571428,0.417
6.683218390804598,0.418
6.693803418803419,0.419
6.699433106575964,0.42
6.700383141762452,0.421
6.710119047619047,0.422
6.715522875816994,0.423
6.717401960784314,0.424
6.717536231884059,0.425
6.718849206349206,0.426
6.7252100840336135,0.427
6.732716049382716,0.428
6.738857142857142,0.429
6.7478768577494685,0.43
6.756444444444444,0.431
6.758,0.432
6.768199233716475,0.433
6.76836917562724,0.434
6.781155778894472,0.435
6.788161993769471,0.436
6.791559829059829,0.437
6.804228855721393,0.438
6.805645161290323,0.439
6.805888223552894,0.44
6.817,0.441
6.820626151012891,0.442
6.8222903885480575,0.443
6.849256900212315,0.444
6.865902140672783,0.445
6.873479318734794,0.446
6.897452229299363,0.447
6.899739583333333,0.448
6.902294685990339,0.449
6.90309381237525,0.45
6.9050228310502275,0.451
6.90688622754491,0.452
6.908735632183908,0.453
6.912925170068027,0.454
6.913423423423423,0.455
6.919786096256685,0.456
6.927272727272727,0.457
6.94546783625731,0.458
6.9506205673758865,0.459
6.969139784946237,0.46
6.974074074074075,0.461
6.975273224043716,0.462
6.980054644808743,0.463
6.991011235955057,0.464
6.995918367346939,0.465
6.996924603174603,0.466
6.998125,0.467
6.998575498575499,0.468
6.999378109452736,0.469
7.00534188034188,0.47
7.006862745098039,0.471
7.007177615571776,0.472
7.0093567251461995,0.473
7.011078998073217,0.474
7.014781746031747,0.475
7.025338753387533,0.476
7.032996632996633,0.477
7.033848797250859,0.478
7.038374485596708,0.479
7.040633608815427,0.48
7.043670886075949,0.481
7.054385964912281,0.482
7.0585227272727264,0.483
7.0624649859943975,0.484
7.075342465753425,0.485
7.076777777777778,0.486
7.089613526570049,0.487
7.092090395480226,0.488
7.123563218390805,0.489
7.123763440860215,0.49
7.125527426160338,0.491
7.139896373056995,0.492
7.143563218390805,0.493
7.146055979643767,0.494
7.157328605200945,0.495
7.160793650793651,0.496
7.161691542288557,0.497
7.166236559139785,0.498
7.175779376498801,0.499
7.180386740331492,0.5
7.1931111111111115,0.501
7.201436781609195,0.502
7.201851851851853,0.503
7.223453093812376,0.504
7.229119850187265,0.505
7.230224525043178,0.506
7.258898305084745,0.507
7.261066666666666,0.508
7.26469696969697,0.509
7.269238095238095,0.51
7.276315789473684,0.511
7.281531531531531,0.512
7.281666666666666,0.513
7.287648809523809,0.514
7.289015151515152,0.515
7.290196078431372,0.516
7.293551587301587,0.517
7.294238683127571,0.518
7.295333333333334,0.519
7.298324514991181,0.52
7.306012658227847,0.521
7.3076,0.522
7.311111111111111,0.523
7.327827380952381,0.524
7.34125,0.525
7.343719806763285,0.526
7.344859813084112,0.527
7.351951951951952,0.528
7.357936507936508,0.529
7.375059101654847,0.53
7.386467236467237,0.531
7.392377260981912,0.532
7.41078431372549,0.533
7.4141414141414135,0.534
7.414166666666667,0.535
7.42064393939394,0.536
7.4259469696969695,0.537
7.431448412698413,0.538
7.433333333333334,0.539
7.4442342342342345,0.54
7.444975490196078,0.541
7.448039215686275,0.542
7.4579931972789115,0.543
7.464597701149426,0.544
7.466908212560386,0.545
7.468413978494624,0.546
7.47037037037037,0.547
7.475,0.548
7.476570048309179,0.549
7.477430555555555,0.55
7.479166666666667,0.551
7.483479532163742,0.552
7.504525386313466,0.553
7.515151515151515,0.554
7.516543209876543,0.555
7.517122040072859,0.556
7.51985294117647,0.557
7.524152542372881,0.558
7.541826923076924,0.559
7.543362831858407,0.56
7.548314606741573,0.561
7.556469298245614,0.562
7.567602996254681,0.563
7.567867867867868,0.564
7.585300925925925,0.565
7.60108024691358,0.566
7.605128205128206,0.567
7.639244186046511,0.568
7.647745098039216,0.569
7.663592233009709,0.57
7.6885,0.571
7.691489361702128,0.572
7.705823293172691,0.573
7.7110789980732175,0.574
7.721448087431694,0.575
7.736882716049382,0.576
7.738242894056847,0.577
7.763059701492537,0.578
7.767508417508418,0.579
7.773443223443223,0.58
7.77537037037037,0.581
7.776865671641792,0.582
7.783050847457627,0.583
7.796783625730995,0.584
7.798541666666667,0.585
7.7993006993007,0.586
7.808333333333334,0.587
7.81224279835391,0.588
7.81639566395664,0.589
7.81729797979798,0.59
7.827056277056277,0.591
7.868394308943089,0.592
7.871495327102804,0.593
7.8892,0.594
7.8937074829931975,0.595
7.908974358974359,0.596
7.927862595419848,0.597
7.9412698412698415,0.598
7.942391304347827,0.599
7.942827004219409,0.6
7.96426116838488,0.601
7.9643274853801165,0.602
7.964716312056737,0.603
7.967010309278351,0.604
8.0,0.605
8.004084967320262,0.606
8.006282051282051,0.607
8.009577114427861,0.608
8.018279569892474,0.609
8.02190082644628,0.61
8.029700854700854,0.611
8.033232323232323,0.612
8.035958005249345,0.613
8.037062937062938,0.614
8.038366890380313,0.615
8.04080459770115,0.616
8.041505376344086,0.617
8.049794238683127,0.618
8.054091816367265,0.619
8.062760416666666,0.62
8.080111111111112,0.621
8.083333333333334,0.622
8.101515151515152,0.623
8.116666666666667,0.624
8.120411985018727,0.625
8.121813725490197,0.626
8.133195592286501,0.627
8.144070512820512,0.628
8.155439814814814,0.629
8.17227414330218,0.63
8.187121212121212,0.631
8.19875283446712,0.632
8.204736842105264,0.633
8.209548611111112,0.634
8.20968660968661,0.635
8.220274914089346,0.636
8.232698412698413,0.637
8.234920634920636,0.638
8.24874686716792,0.639
8.24904761904762,0.64
8.251779935275081,0.641
8.252696078431372,0.642
8.253714859437752,0.643
8.261666666666667,0.644
8.264035087719298,0.645
8.276107226107227,0.646
8.27991452991453,0.647
8.285119047619048,0.648
8.28544061302682,0.649
8.289965986394558,0.65
8.295833333333333,0.651
8.298474178403756,0.652
8.303153153153152,0.653
8.306891025641026,0.654
8.310747663551403,0.655
8.320192307692308,0.656
8.326689976689977,0.657
8.327262693156733,0.658
8.33345498783455,0.659
8.344619422572178,0.66
8.345981087470449,0.661
8.351060606060607,0.662
